road_id,road_name,neighbourhood,hour,speed_limit,avg_speed,volume,capacity,incident_count,incident_text,incident_weight,nlp_severity,network_stress,C1,C2,C3,C4,ufi_raw,temporal_weight,ufi_score,ufi_class
R001,Nungambakkam_Rd_1,Nungambakkam,0,40,20.8,662,851,0,no incidents reported,0,0.0,0.007769423558897243,0.5142231947483589,0.511690580740924,0.679324894514768,0.0,0.46935027128715634,0.2,9.387005425743128,Free Flow
R001,Nungambakkam_Rd_1,Nungambakkam,1,40,19.5,626,851,1,major collision road closed,3,0.3333333333333333,0.007769423558897243,0.5568927789934355,0.41867926278681433,0.679324894514768,0.625,0.5501312303867003,0.2,11.002624607734008,Free Flow
R001,Nungambakkam_Rd_1,Nungambakkam,2,40,19.3,479,851,0,clear roads,0,0.0,0.007769423558897243,0.563457330415755,0.038883047807533044,0.679324894514768,0.0,0.3447399588907277,0.2,6.894799177814555,Free Flow
R001,Nungambakkam_Rd_1,Nungambakkam,3,40,19.3,698,851,1,minor fender bender cleared,1,0.13333333333333333,0.007769423558897243,0.563457330415755,0.6047018986950339,0.679324894514768,0.25,0.5519856141569779,0.2,11.039712283139558,Free Flow
R001,Nungambakkam_Rd_1,Nungambakkam,4,40,23.0,469,851,1,major collision road closed,3,0.3333333333333333,0.007769423558897243,0.44201312910284474,0.013046570598058027,0.679324894514768,0.625,0.3882335452683666,0.2,7.764670905367332,Free Flow
R001,Nungambakkam_Rd_1,Nungambakkam,5,40,21.3,726,851,1,slight congestion due to signal,1,0.13333333333333333,0.007769423558897243,0.4978118161925603,0.6770440348815634,0.679324894514768,0.25,0.5507123250348187,0.2,11.014246500696375,Free Flow
R001,Nungambakkam_Rd_1,Nungambakkam,6,40,15.3,627,851,0,clear roads,0,0.0,0.007769423558897243,0.6947483588621444,0.4212629105077619,0.679324894514768,0.0,0.5054057776570327,0.5,25.27028888285163,Low
R001,Nungambakkam_Rd_1,Nungambakkam,7,40,11.0,851,851,1,slight congestion due to signal,1,0.13333333333333333,0.007769423558897243,0.8358862144420132,1.0,0.679324894514768,0.25,0.7659251539576581,1.0,76.59251539576582,Severe
R001,Nungambakkam_Rd_1,Nungambakkam,8,40,10.4,851,851,0,traffic moving normally,0,0.0,0.007769423558897243,0.8555798687089716,1.0,0.679324894514768,0.0,0.7353179329510936,1.0,73.53179329510937,High
R001,Nungambakkam_Rd_1,Nungambakkam,9,40,6.1,851,851,0,no incidents reported,0,0.0,0.007769423558897243,0.9967177242888404,1.0,0.679324894514768,0.0,0.7847161824040476,1.0,78.47161824040477,Severe
R001,Nungambakkam_Rd_1,Nungambakkam,10,40,7.9,851,851,0,no incidents reported,0,0.0,0.007769423558897243,0.9376367614879649,1.0,0.679324894514768,0.0,0.7640378454237413,1.0,76.40378454237413,Severe
R001,Nungambakkam_Rd_1,Nungambakkam,11,40,16.8,688,851,0,traffic moving normally,0,0.0,0.007769423558897243,0.6455142231947484,0.5788654214855589,0.679324894514768,0.0,0.5354545834667832,0.5,26.77272917333916,Low
R001,Nungambakkam_Rd_1,Nungambakkam,12,40,17.3,712,851,1,accident reported minor injuries,2,0.3333333333333333,0.007769423558897243,0.6291028446389497,0.6408729667882986,0.679324894514768,0.625,0.6420628645630756,0.7,44.94440051941529,Moderate
R001,Nungambakkam_Rd_1,Nungambakkam,13,40,13.9,829,851,0,traffic moving normally,0,0.0,0.007769423558897243,0.7407002188183808,0.9431597501391553,0.679324894514768,0.0,0.6780579805311334,0.7,47.464058637179335,Moderate
R001,Nungambakkam_Rd_1,Nungambakkam,14,40,13.3,851,851,1,minor fender bender cleared,1,0.13333333333333333,0.007769423558897243,0.7603938730853392,1.0,0.679324894514768,0.25,0.7395028344828222,0.7,51.765198413797556,Moderate
